keroml_id,mixture_id,mixture_name,cetane_number_val,cn_less_branch,cn_mean_branch,cn_more_branch,cn_branch_span
KERO_TRDS_A0_000014,CHTA_MXTR_A0_00259,POSF 3962 (JET A),,51.60962981170414,46.93481820830218,42.26000660490022,9.34962320680392
KERO_TRDS_A0_000015,CHTA_MXTR_A0_00260,POSF 3963 (JET A-1),,53.58784332592745,49.05478848132779,44.52173363672814,9.066109689199308
KERO_TRDS_A0_000016,CHTA_MXTR_A0_00261,POSF 3964 (JET A),,51.979060025973254,47.36110592769987,42.74315182942647,9.23590819654678
KERO_TRDS_A0_000017,CHTA_MXTR_A0_00262,POSF 3965 (JET A-1),,53.671023136227056,49.07136138211534,44.47169962800363,9.19932350822343
KERO_TRDS_A0_000018,CHTA_MXTR_A0_00263,POSF 3966 (JET A-1),,53.624998619614615,49.11214453141736,44.59929044322011,9.025708176394502
KERO_TRDS_A0_000019,CHTA_MXTR_A0_00264,POSF 3967 (JET A-1),,53.07343843993804,48.5069005423586,43.94036264477917,9.133075795158867
KERO_TRDS_A0_000020,CHTA_MXTR_A0_00265,POSF 3968 (JP-8),,54.358923508695355,49.56644310931753,44.7739627099397,9.584960798755652
KERO_TRDS_A0_000021,CHTA_MXTR_A0_00266,POSF 3969 (JET A-1),,55.502559542464205,51.38267141245108,47.262783282437965,8.23977626002624
KERO_TRDS_A0_000022,CHTA_MXTR_A0_00267,POSF 3970 (JP-8),,52.55352721698363,47.65282184630165,42.75211647561967,9.80141074136396
KERO_TRDS_A0_000023,CHTA_MXTR_A0_00268,POSF 3971 (TS-1),,53.29384926759472,48.112162771139886,42.93047627468505,10.363372992909675
KERO_TRDS_A0_000024,CHTA_MXTR_A0_00269,POSF 4108 (JET A),,50.904328306974634,46.60503729890015,42.305746290825674,8.59858201614896
KERO_TRDS_A0_000025,CHTA_MXTR_A0_00270,POSF 4109 (JET A),,52.2383232176508,47.606999250350185,42.975675283049576,9.262647934601226
KERO_TRDS_A0_000026,CHTA_MXTR_A0_00271,POSF 4110 (JET A),,53.000642069675706,48.26506676977949,43.52949146988326,9.471150599792445
KERO_TRDS_A0_000027,CHTA_MXTR_A0_00272,POSF 4111 (JET A),,52.17117145227213,47.702003025616904,43.232834598961674,8.938336853310453
KERO_TRDS_A0_000028,CHTA_MXTR_A0_00273,POSF 4152 (JET A-1),,56.73594712027407,52.406554509980865,48.07716189968766,8.65878522058641
KERO_TRDS_A0_000029,CHTA_MXTR_A0_00274,POSF 4153 (JET A-1),,54.07959697112501,49.810672917931505,45.541748864738004,8.537848106387003
KERO_TRDS_A0_000030,CHTA_MXTR_A0_00275,POSF 4154 (JET A-1),,55.068769856594805,50.58193364761306,46.09509743863131,8.973672417963492
KERO_TRDS_A0_000031,CHTA_MXTR_A0_00276,POSF 4155 (JET A-1),,54.3526058180075,49.66301427189841,44.97342272578933,9.37918309221817
KERO_TRDS_A0_000032,CHTA_MXTR_A0_00277,POSF 4156 (JET A-1),,54.75833252064782,50.36248020162556,45.966627882603305,8.791704638044514
KERO_TRDS_A0_000033,CHTA_MXTR_A0_00278,POSF 4158 (Semi-synthetic jet fuel),,52.0112225975025,46.67509536070679,41.33896812391108,10.672254473591423
KERO_TRDS_A0_000034,CHTA_MXTR_A0_00279,POSF 4159 (JET A-1),,53.51920678522077,49.16064773930947,44.802088693398176,8.717118091822591
KERO_TRDS_A0_000035,CHTA_MXTR_A0_00280,POSF 4195 (JP-8),,51.18231480628972,46.30758245643622,41.43285010658272,9.749464699706998
KERO_TRDS_A0_000036,CHTA_MXTR_A0_00281,POSF 4197 (JET A-1),,53.057060855513804,48.486732376507916,43.916403897502036,9.140656958011768
KERO_TRDS_A0_000037,CHTA_MXTR_A0_00282,POSF 4198 (JET A-1),,52.148904343873554,47.35196639887819,42.555028453882834,9.59387588999072
KERO_TRDS_A0_000038,CHTA_MXTR_A0_00283,POSF 4324 (JET A-1),,53.80155829750626,49.103219594515984,44.40488089152571,9.396677405980554
KERO_TRDS_A0_000039,CHTA_MXTR_A0_00284,POSF 4325 (JET A),,52.37577841555746,47.60385595975278,42.83193350394809,9.54384491160937
KERO_TRDS_A0_000040,CHTA_MXTR_A0_00285,POSF 4326 (JET A),,52.61584403549526,47.857134171739894,43.09842430798453,9.517419727510728
KERO_TRDS_A0_000041,CHTA_MXTR_A0_00286,POSF 4327 (JET A-1),,50.423716094376324,45.82828048977779,41.232844885179254,9.19087120919707
KERO_TRDS_A0_000042,CHTA_MXTR_A0_00287,POSF 4363 (JET A-1),,54.71228154765866,50.0478731217164,45.38346469577414,9.328816851884525
KERO_TRDS_A0_000043,CHTA_MXTR_A0_00288,POSF 4364 (JET A-1),,49.91288812296838,45.426610156860505,40.94033219075263,8.972555932215755
KERO_TRDS_A0_000044,CHTA_MXTR_A0_00289,POSF 4365 (JET A),,54.695987234406736,49.92735562823718,45.158724022067624,9.537263212339113
KERO_TRDS_A0_000045,CHTA_MXTR_A0_00290,POSF 4366 (JET A-1),,52.89618271946227,48.228766068685744,43.56134941790923,9.33483330155304
KERO_TRDS_A0_000046,CHTA_MXTR_A0_00291,POSF 4368 (JET A-1),,53.859121183814835,49.124725069109346,44.39032895440385,9.468792229410987
KERO_TRDS_A0_000047,CHTA_MXTR_A0_00292,POSF 4369 (JET A-1),,51.82994304910637,47.37270095381544,42.91545885852451,8.91448419058186
KERO_TRDS_A0_000048,CHTA_MXTR_A0_00293,POSF 4370 (JET A-1),,51.411981898621455,46.94088255365435,42.469783208687225,8.94219868993423
KERO_TRDS_A0_000049,CHTA_MXTR_A0_00294,POSF 4371 (JET A-1),,55.864114219410595,51.17220774718863,46.48030127496667,9.383812944443925
KERO_TRDS_A0_000050,CHTA_MXTR_A0_00295,POSF 4384 (JET A-1),,54.46199284480732,49.84160035507568,45.22120786534403,9.240784979463292
KERO_TRDS_A0_000051,CHTA_MXTR_A0_00296,POSF 4385 (JET A-1),,53.93823251510647,49.41988663802901,44.90154076095154,9.03669175415493
KERO_TRDS_A0_000052,CHTA_MXTR_A0_00297,POSF 4386 (JET A-1),,50.97332461776304,46.34282492324531,41.712325228727565,9.260999389035476
KERO_TRDS_A0_000053,CHTA_MXTR_A0_00298,POSF 4433 (JET A-1),,46.587531838299654,43.12299152104557,39.65845120379147,6.929080634508182
KERO_TRDS_A0_000054,CHTA_MXTR_A0_00299,POSF 4461 (JET A-1),,53.96215411267782,49.2223747526967,44.48259539271559,9.479558719962235
KERO_TRDS_A0_000055,CHTA_MXTR_A0_00300,POSF 10264 (JP-8),48.8,56.56843259661632,51.52210928548516,46.475785974354004,10.092646622262315
KERO_TRDS_A0_000056,CHTA_MXTR_A0_00301,POSF 10325 (Jet A),48.3,53.76979257302327,48.9284933629757,44.08719415292814,9.682598420095125
KERO_TRDS_A0_000057,CHTA_MXTR_A0_00302,POSF 10289 (JP-5),39.2,49.681979695024296,45.215328493226515,40.748677291428734,8.933302403595562
KERO_TRDS_A0_000058,CHTA_MXTR_A0_00303,POSF 11498 (ATJ SPK),,37.46188648872528,28.445748924118348,19.42961135951141,18.03227512921387
KERO_TRDS_A0_000059,CHTA_MXTR_A0_00304,POSF 13349 (SAK),,47.614144701439905,43.362144839130224,39.11014497682055,8.503999724619355
KERO_TRDS_A0_000060,CHTA_MXTR_A0_00305,POSF 13350 (SAK),,47.50440418148645,43.17187245313486,38.839340724783284,8.665063456703166
KERO_TRDS_A0_000061,CHTA_MXTR_A0_00307,POSF 12223 (),50.4,56.39788009087469,48.11672552632633,39.83557096177796,16.562309129096732
KERO_TRDS_A0_000062,CHTA_MXTR_A0_00473,POSF 10279-2,,43.62402973720137,40.5813412439819,37.53865275076245,6.0853769864389164
KERO_TRDS_A0_000063,CHTA_MXTR_A0_00474,POSF 12344,,46.92081446712539,39.17387867882952,31.426942890533653,15.493871576591737
KERO_TRDS_A0_000064,CHTA_MXTR_A0_00475,POSF 12345,39.6,52.039362263482445,47.024444127615496,42.009525991748546,10.029836271733899
KERO_TRDS_A0_000065,CHTA_MXTR_A0_00476,POSF 10376,,49.4107476288384,44.84146708843396,40.27218654802952,9.138561080808884
KERO_TRDS_A0_000066,CHTA_MXTR_A0_00477,POSF 12341,47.0,52.65049480431563,46.83107875601888,41.01166270772215,11.638832096593475
KERO_TRDS_A0_000067,CHTA_MXTR_A0_00478,POSF 12925,42.6,47.89802498917726,43.05546515463938,38.2129053201015,9.68511966907576
KERO_TRDS_A0_000068,CHTA_MXTR_A0_00479,POSF 12923,43.5,51.31906828158377,46.304680372692914,41.29029246380206,10.028775817781707
KERO_TRDS_A0_000069,CHTA_MXTR_A0_00480,POSF 12933,63.3,57.357687304334604,52.801861153576525,48.246035002818445,9.111652301516159
KERO_TRDS_A0_000070,CHTA_MXTR_A0_00481,POSF 7504,15.1,32.576054260821394,24.409509694081528,16.24296512734165,16.333089133479742
KERO_TRDS_A0_000071,CHTA_MXTR_A0_00482,POSF 8092,,40.27694686685111,32.036496101306184,23.79604533576125,16.480901531089863
KERO_TRDS_A0_000072,CHTA_MXTR_A0_00483,POSF 8438,,36.26712304243599,28.349270090259886,20.431417138083777,15.835705904352213
KERO_TRDS_A0_000073,CHTA_MXTR_A0_00484,POSF 9641,,43.96960401546011,36.80849401636736,29.647384017274607,14.322219998185506
KERO_TRDS_A0_000074,CHTA_MXTR_A0_00485,POSF 4658,47.1,52.39941992294138,47.71061062556752,43.021801328193675,9.377618594747702
KERO_TRDS_A0_000075,CHTA_MXTR_A0_00486,POSF 5699,49.3,54.31423505530707,49.48216047634831,44.650085897389545,9.664149157917528
KERO_TRDS_A0_000076,CHTA_MXTR_A0_00487,POSF 6169 (JP-8),47.3,53.66372711808604,48.90998118302884,44.15623524797165,9.507491870114386
KERO_TRDS_A0_000077,CHTA_MXTR_A0_00488,POSF 4751,45.9,52.86108872700559,48.21283109760915,43.56457346821272,9.296515258792866
KERO_TRDS_A0_000078,CHTA_MXTR_A0_00489,POSF 4177,,51.062140706292965,46.47426919298497,41.886397679676975,9.17574302661599
KERO_TRDS_A0_000079,CHTA_MXTR_A0_00490,POSF 3773,,53.4584914177277,48.80709536403834,44.15569931034899,9.302792107378707
KERO_TRDS_A0_000080,CHTA_MXTR_A0_00308,POSF 12402 (No. 3 Jet),,51.279661839905074,46.92351098380447,42.567360127703864,8.71230171220121
KERO_TRDS_A0_000081,CHTA_MXTR_A0_00309,POSF 11769 (Jet A),,51.44300130598763,47.04600652236664,42.64901173874564,8.793989567241987
KERO_TRDS_A0_000082,CHTA_MXTR_A0_00311,POSF 12360 (F-24),,50.94468368720987,46.52544715869307,42.10621063017627,8.838473057033596
KERO_TRDS_A0_000083,CHTA_MXTR_A0_00312,POSF 8451 (JP-8),,54.431286442506156,49.50535555215974,44.57942466181332,9.851861780692836
KERO_TRDS_A0_000084,CHTA_MXTR_A0_00313,POSF 5237 (Jet A-1),,54.431286442506156,49.50535555215974,44.57942466181332,9.851861780692836
