#=======================================================================================================================
# InTensors - CN mixture SELFIES dataset
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 1.3.1
# Created on       : 4 June 2026
# Last modified on : 25 June 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Changelog
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
# Source: cheetah_mixture_composition.dat joined with cheetah_materials.dat
# (SELFIES) and cheetah_cetane_number.dat (CN, required).
# Unused cpnt_selfies_* slots are NaN.
# Mixture order follows cheetah_mixture.dat.
# Selection: identified components <= 10, or top 10 identified volume fractions >= 95 % of total identified volume when > 10 identified components.
# Unidentified components are excluded from ranking and thresholds.
# cpnt_vol_*: volume fraction (0-1) from mixture_comp_vol (%).
# Source file SHA-256:
# sha256:0b65a4a2dc572bdff5e1806c873cf0c9b926bef4eddea53bf148e5072f95c576  database/cheetah/cheetah_mixture_composition.dat
# sha256:fd67fc95758fc0b6d821719b033220056c85634dc6b1ff80d4af1367ffe33e77  database/cheetah/cheetah_mixture.dat
# sha256:1d13603eddbb4b1b3d570458ad256027ae8f640357a3b0652f0ae490b662cbdd  database/cheetah/cheetah_materials.dat
# sha256:ce7d6cbbd56b26c671f69dcdcaebe097f6e4f5002713180cb96803fd3ed91910  database/cheetah/cheetah_cetane_number.dat
# Source commits:
# git:d85ff2d9701a46efd8a3e2d0bfed3ccf3c4b6ffe  database/cheetah/cheetah_mixture_composition.dat
# git:653076ba7de402ff9412600afa55b507625c6eb6  database/cheetah/cheetah_mixture.dat
# git:d85ff2d9701a46efd8a3e2d0bfed3ccf3c4b6ffe  database/cheetah/cheetah_materials.dat
# git:d85ff2d9701a46efd8a3e2d0bfed3ccf3c4b6ffe  database/cheetah/cheetah_cetane_number.dat
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
cn_mxtr_selfies_id	mixture_id	mixture_name	mixture_type	cpnt_selfies_1	cpnt_selfies_2	cpnt_selfies_3	cpnt_selfies_4	cpnt_selfies_5	cpnt_selfies_6	cpnt_selfies_7	cpnt_selfies_8	cpnt_selfies_9	cpnt_selfies_10	cpnt_vol_1	cpnt_vol_2	cpnt_vol_3	cpnt_vol_4	cpnt_vol_5	cpnt_vol_6	cpnt_vol_7	cpnt_vol_8	cpnt_vol_9	cpnt_vol_10	CN
CNMX_TRDS_A0_000020	CHTA_MXTR_A0_000052	TPRF 60-30	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.201151E-01	2.999272E-01	2.799577E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.619694E+01
CNMX_TRDS_A0_000021	CHTA_MXTR_A0_000053	TPRF 60-40	surrogate fuel	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.998982E-01	3.600869E-01	2.400150E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.268293E+01
CNMX_TRDS_A0_000022	CHTA_MXTR_A0_000054	TPRF 70-10	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][C][C][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.300249E-01	2.699984E-01	9.997662E-02	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.891654E+01
CNMX_TRDS_A0_000023	CHTA_MXTR_A0_000055	TPRF 70-20	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][C][C][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.600556E-01	2.400165E-01	1.999279E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.625817E+01
CNMX_TRDS_A0_000024	CHTA_MXTR_A0_000056	TPRF 70-30	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.900824E-01	2.999071E-01	2.100104E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.369005E+01
CNMX_TRDS_A0_000025	CHTA_MXTR_A0_000057	TPRF 70-40	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.201151E-01	3.998653E-01	1.800196E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.993971E+01
CNMX_TRDS_A0_000026	CHTA_MXTR_A0_000058	TPRF 80-10	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][C][C][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.200344E-01	1.799956E-01	9.997008E-02	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.536285E+01
CNMX_TRDS_A0_000027	CHTA_MXTR_A0_000059	TPRF 80-20	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.400742E-01	1.999165E-01	1.600093E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.284422E+01
CNMX_TRDS_A0_000028	CHTA_MXTR_A0_000060	TPRF 80-30	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.601258E-01	2.999144E-01	1.399597E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.975331E+01
CNMX_TRDS_A0_000029	CHTA_MXTR_A0_000061	TPRF 80-40	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.801334E-01	3.998911E-01	1.199755E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.649239E+01
