#=======================================================================================================================
# InTensors - SIDT mixture SELFIES dataset (CVWSR-style)
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 1.0.0
# Created on       : 30 July 2026
# Last modified on : 30 July 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Changelog
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
# Mixture           : propane
# Mixture ID        : CHTA_MXTR_A0_014784
# Source: ZeroRK cvwsr_idt_selfies.dat (CVWSR IDT + mixture SELFIES).
# idt_s: main IDT in seconds (ZeroRK idt_400K_s); NaN if missing.
# First-stage IDT is not written.
# cpnt_vol_*: volume fraction (0-1) from source.
# egr_fraction: exhaust-gas recirculation as fraction (0-1).
# ntc_t_min_K / ntc_t_max_K / has_ntc: joined from
# cvwsr_ntc_bounds_selfies.dat by (P, φ, EGR) when available;
# otherwise NaN / 0.
# Unused cpnt_selfies_* slots are NaN; unused cpnt_vol_* are 0.
# Source file SHA-256:
# sha256:a58bd2c02dba7d26a142eacc7b5f5383d5aed4c79632e93e2757cec899a9ecb9  /home/nimalnaser/Downloads/ZeroRK/dataset_runs/database/maffei2025modeling/C3H8/cvwsr_idt_selfies.dat
# sha256:fc4b5bd6289e56f38c4650caecf24cc710de9d648fc38e35f5fa3694db6032cb  /home/nimalnaser/Downloads/ZeroRK/dataset_runs/database/maffei2025modeling/C3H8/cvwsr_ntc_bounds_selfies.dat
# Source commits:
# git:423833bc11e187a072d044c0402993c86bc84d8e  cvwsr_idt_selfies.dat
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
sidt_id	mixture_id	mixture_name	model_name	mixture_type	cpnt_selfies_1	cpnt_selfies_2	cpnt_selfies_3	cpnt_selfies_4	cpnt_selfies_5	cpnt_selfies_6	cpnt_selfies_7	cpnt_selfies_8	cpnt_selfies_9	cpnt_selfies_10	cpnt_vol_1	cpnt_vol_2	cpnt_vol_3	cpnt_vol_4	cpnt_vol_5	cpnt_vol_6	cpnt_vol_7	cpnt_vol_8	cpnt_vol_9	cpnt_vol_10	pressure_bar	temperature_K	phi	egr_fraction	idt_s	ntc_t_min_K	ntc_t_max_K	has_ntc	sidt_sim_date
CHTA_SIDT_A0_000028	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.380440E+01	1.283936E+03	1.707366E+00	2.925825E-01	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000029	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.200000E+01	1.499934E+03	5.665901E-01	6.438551E-02	1.607233E-05	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000030	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.300000E+01	9.208961E+02	1.208643E+00	3.702873E-02	6.045455E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000031	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.350307E+01	9.387808E+02	1.967079E+00	8.517336E-02	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000032	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.800000E+01	1.056631E+03	1.036347E+00	8.176844E-02	1.019327E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000033	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.970789E+01	9.667714E+02	1.913389E+00	8.733500E-02	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000034	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.449738E+01	7.281892E+02	1.749671E+00	1.929837E-01	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000035	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.200000E+01	1.077292E+03	9.473173E-01	1.648860E-01	1.248882E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000036	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.400000E+01	7.401264E+02	1.263995E+00	2.881670E-01	2.810579E-01	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000037	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.800000E+01	1.105140E+03	8.191206E-01	5.425628E-03	4.372406E-04	NaN	NaN	0	2026-07-26T11:48:46Z
